#Black hole mass function (BHMF) from z=0-10, from Trinity
#Ref: Zhang et al. (2021)
#z log(Mbh)[Msun] log(Number Density)[Mpc^-3 dex^-1] log(16-th Percentile of Number Density)[Mpc^-3 dex^-1] log(84-th Percentile of Number Density)[Mpc^-3 dex^-1]
5.000000 9.100000 -6.699714 -6.805866 -6.618455
5.000000 9.200000 -6.851568 -6.958571 -6.766649
5.000000 9.300000 -7.011944 -7.122184 -6.922194
5.000000 9.400000 -7.175475 -7.295928 -7.082290
5.000000 9.500000 -7.346334 -7.472326 -7.248549
5.000000 9.600000 -7.528331 -7.657577 -7.428356
5.000000 9.700000 -7.717984 -7.856325 -7.625827
5.000000 9.800000 -7.915705 -8.065322 -7.828119
5.000000 9.900000 -8.132903 -8.287138 -8.049503
5.000000 10.000000 -8.358392 -8.521492 -8.277963
5.000000 10.100000 -8.599425 -8.768285 -8.512826
5.000000 10.200000 -8.859055 -9.028294 -8.758013
5.000000 10.300000 -9.123214 -9.302000 -9.009543
5.000000 10.400000 -9.402839 -9.589853 -9.273764
5.000000 10.500000 -9.699801 -9.891360 -9.553582
6.000000 4.000000 -3.453967 -3.599922 -3.344376
6.000000 4.100000 -3.504256 -3.650657 -3.395762
6.000000 4.200000 -3.555909 -3.702063 -3.447821
6.000000 4.300000 -3.609145 -3.754162 -3.500577
6.000000 4.400000 -3.663923 -3.806877 -3.554051
6.000000 4.500000 -3.718006 -3.859688 -3.608269
6.000000 4.600000 -3.772610 -3.913235 -3.663257
6.000000 4.700000 -3.828130 -3.967543 -3.719042
6.000000 4.800000 -3.884252 -4.019573 -3.775653
6.000000 4.900000 -3.941334 -4.073784 -3.833119
6.000000 5.000000 -3.999065 -4.131109 -3.891471
6.000000 5.100000 -4.058744 -4.189327 -3.950739
