#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "same mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
8.114227 11.750000 0.365467
8.114227 11.800000 0.363482
8.114227 11.850000 0.361497
8.114227 11.900000 0.359511
8.067291 11.000000 0.404186
8.067291 11.050000 0.400665
8.067291 11.100000 0.397145
8.067291 11.150000 0.393734
8.067291 11.200000 0.390324
8.067291 11.250000 0.386913
8.067291 11.300000 0.383502
8.067291 11.350000 0.380347
8.067291 11.400000 0.377192
8.067291 11.450000 0.374037
8.067291 11.500000 0.370882
8.067291 11.550000 0.368178
8.067291 11.600000 0.365475
8.067291 11.650000 0.362771
8.067291 11.700000 0.360067
8.067291 11.750000 0.358054
8.067291 11.800000 0.356040
8.067291 11.850000 0.354026
8.067291 11.900000 0.352012
8.067291 11.950000 0.350897
8.020356 11.000000 0.396680
8.020356 11.050000 0.393189
8.020356 11.100000 0.389699
8.020356 11.150000 0.386308
8.020356 11.200000 0.382918
8.020356 11.250000 0.379527
8.020356 11.300000 0.376137
8.020356 11.350000 0.372988
8.020356 11.400000 0.369839
8.020356 11.450000 0.366690
8.020356 11.500000 0.363541
8.020356 11.550000 0.360826
8.020356 11.600000 0.358112
8.020356 11.650000 0.355397
8.020356 11.700000 0.352682
8.020356 11.750000 0.350640
8.020356 11.800000 0.348598
8.020356 11.850000 0.346555
8.020356 11.900000 0.344513
8.020356 11.950000 0.343353
7.974142 11.000000 0.387722
7.974142 11.050000 0.384230
7.974142 11.100000 0.380738
7.974142 11.150000 0.377335
7.974142 11.200000 0.373932
7.974142 11.250000 0.370528
7.974142 11.300000 0.367125
7.974142 11.350000 0.363948
7.974142 11.400000 0.360771
7.974142 11.450000 0.357595
7.974142 11.500000 0.354418
7.974142 11.550000 0.351658
7.974142 11.600000 0.348898
7.974142 11.650000 0.346139
7.974142 11.700000 0.343379
7.974142 11.750000 0.341274
7.974142 11.800000 0.339168
7.974142 11.850000 0.337063
7.974142 11.900000 0.334958
7.974142 11.950000 0.333719
7.927927 11.000000 0.378765
7.927927 11.050000 0.375271
7.927927 11.100000 0.371778
7.927927 11.150000 0.368362
7.927927 11.200000 0.364945
7.927927 11.250000 0.361529
7.927927 11.300000 0.358113
7.927927 11.350000 0.354909
7.927927 11.400000 0.351704
7.927927 11.450000 0.348500
7.927927 11.500000 0.345296
7.927927 11.550000 0.342490
7.927927 11.600000 0.339685
7.927927 11.650000 0.336880
7.927927 11.700000 0.334075
7.927927 11.750000 0.331907
7.927927 11.800000 0.329739
7.927927 11.850000 0.327571
7.927927 11.900000 0.325404
7.927927 11.950000 0.324085
7.881713 11.000000 0.369807
7.881713 11.050000 0.366312
7.881713 11.100000 0.362818
7.881713 11.150000 0.359388
7.881713 11.200000 0.355959
7.881713 11.250000 0.352530
7.881713 11.300000 0.349101
7.881713 11.350000 0.345869
7.881713 11.400000 0.342637
7.881713 11.450000 0.339405
7.881713 11.500000 0.336173
7.881713 11.550000 0.333322
7.881713 11.600000 0.330472
7.881713 11.650000 0.327621
7.881713 11.700000 0.324771
7.881713 11.750000 0.322541
7.881713 11.800000 0.320310
7.881713 11.850000 0.318080
7.881713 11.900000 0.315849
7.881713 11.950000 0.314451
7.881713 12.000000 0.313053
7.836209 11.000000 0.358412
7.836209 11.050000 0.354918
7.836209 11.100000 0.351425
7.836209 11.150000 0.348006
7.836209 11.200000 0.344587
7.836209 11.250000 0.341168
7.836209 11.300000 0.337749
7.836209 11.350000 0.334535
7.836209 11.400000 0.331322
7.836209 11.450000 0.328109
7.836209 11.500000 0.324896
7.836209 11.550000 0.322072
7.836209 11.600000 0.319248
7.836209 11.650000 0.316425
7.836209 11.700000 0.313601
7.836209 11.750000 0.311405
7.836209 11.800000 0.309208
7.836209 11.850000 0.307012
7.836209 11.900000 0.304816
7.836209 11.950000 0.303453
7.836209 12.000000 0.302091
7.790705 11.000000 0.347016
7.790705 11.050000 0.343524
7.790705 11.100000 0.340033
7.790705 11.150000 0.336624
7.790705 11.200000 0.333214
7.790705 11.250000 0.329805
7.790705 11.300000 0.326396
7.790705 11.350000 0.323202
7.790705 11.400000 0.320007
7.790705 11.450000 0.316813
7.790705 11.500000 0.313618
7.790705 11.550000 0.310822
7.790705 11.600000 0.308025
7.790705 11.650000 0.305228
7.790705 11.700000 0.302432
7.790705 11.750000 0.300269
7.790705 11.800000 0.298107
7.790705 11.850000 0.295944
7.790705 11.900000 0.293782
7.790705 11.950000 0.292455
7.790705 12.000000 0.291128
7.745201 11.000000 0.335620
7.745201 11.050000 0.332130
7.745201 11.100000 0.328640
7.745201 11.150000 0.325241
7.745201 11.200000 0.321842
7.745201 11.250000 0.318443
7.745201 11.300000 0.315044
7.745201 11.350000 0.311868
7.745201 11.400000 0.308692
7.745201 11.450000 0.305517
7.745201 11.500000 0.302341
7.745201 11.550000 0.299571
7.745201 11.600000 0.296802
7.745201 11.650000 0.294032
7.745201 11.700000 0.291262
7.745201 11.750000 0.289133
7.745201 11.800000 0.287005
7.745201 11.850000 0.284877
7.745201 11.900000 0.282748
7.745201 11.950000 0.281457
7.745201 12.000000 0.280166
7.745201 12.050000 0.278875
7.700397 11.000000 0.325104
7.700397 11.050000 0.321641
7.700397 11.100000 0.318178
7.700397 11.150000 0.314817
7.700397 11.200000 0.311455
7.700397 11.250000 0.308093
7.700397 11.300000 0.304731
7.700397 11.350000 0.301603
7.700397 11.400000 0.298475
7.700397 11.450000 0.295346
7.700397 11.500000 0.292218
7.700397 11.550000 0.289505
7.700397 11.600000 0.286791
7.700397 11.650000 0.284078
7.700397 11.700000 0.281364
7.700397 11.750000 0.279299
7.700397 11.800000 0.277234
7.700397 11.850000 0.275168
7.700397 11.900000 0.273103
7.700397 11.950000 0.271878
7.700397 12.000000 0.270653
7.700397 12.050000 0.269428
7.655592 11.000000 0.314587
7.655592 11.050000 0.311152
7.655592 11.100000 0.307717
7.655592 11.150000 0.304392
7.655592 11.200000 0.301068
7.655592 11.250000 0.297743
7.655592 11.300000 0.294418
7.655592 11.350000 0.291338
7.655592 11.400000 0.288257
7.655592 11.450000 0.285176
7.655592 11.500000 0.282095
7.655592 11.550000 0.279438
7.655592 11.600000 0.276781
7.655592 11.650000 0.274124
7.655592 11.700000 0.271467
7.655592 11.750000 0.269465
7.655592 11.800000 0.267462
7.655592 11.850000 0.265460
7.655592 11.900000 0.263458
7.655592 11.950000 0.262299
7.655592 12.000000 0.261140
7.655592 12.050000 0.259982
7.610788 11.000000 0.304071
7.610788 11.050000 0.300663
7.610788 11.100000 0.297255
7.610788 11.150000 0.293968
7.610788 11.200000 0.290680
7.610788 11.250000 0.287393
7.610788 11.300000 0.284106
7.610788 11.350000 0.281073
7.610788 11.400000 0.278039
7.610788 11.450000 0.275006
7.610788 11.500000 0.271973
7.610788 11.550000 0.269372
7.610788 11.600000 0.266771
7.610788 11.650000 0.264170
7.610788 11.700000 0.261569
7.610788 11.750000 0.259630
7.610788 11.800000 0.257691
7.610788 11.850000 0.255752
7.610788 11.900000 0.253813
7.610788 11.950000 0.252720
7.610788 12.000000 0.251628
7.610788 12.050000 0.250535
7.610788 12.100000 0.249443
7.566672 11.000000 0.294292
7.566672 11.050000 0.290933
7.566672 11.100000 0.287573
7.566672 11.150000 0.284346
7.566672 11.200000 0.281118
7.566672 11.250000 0.277891
7.566672 11.300000 0.274663
7.566672 11.350000 0.271700
7.566672 11.400000 0.268737
7.566672 11.450000 0.265774
7.566672 11.500000 0.262811
7.566672 11.550000 0.260289
7.566672 11.600000 0.257767
7.566672 11.650000 0.255245
7.566672 11.700000 0.252723
7.566672 11.750000 0.250868
7.566672 11.800000 0.249014
7.566672 11.850000 0.247159
7.566672 11.900000 0.245304
7.566672 11.950000 0.244299
7.566672 12.000000 0.243293
7.566672 12.050000 0.242288
7.566672 12.100000 0.241282
7.522556 11.000000 0.284513
7.522556 11.050000 0.281203
7.522556 11.100000 0.277892
7.522556 11.150000 0.274724
7.522556 11.200000 0.271556
7.522556 11.250000 0.268389
7.522556 11.300000 0.265221
7.522556 11.350000 0.262328
7.522556 11.400000 0.259435
7.522556 11.450000 0.256542
7.522556 11.500000 0.253650
7.522556 11.550000 0.251206
7.522556 11.600000 0.248763
7.522556 11.650000 0.246320
7.522556 11.700000 0.243877
7.522556 11.750000 0.242107
7.522556 11.800000 0.240336
7.522556 11.850000 0.238566
7.522556 11.900000 0.236795
7.522556 11.950000 0.235877
7.522556 12.000000 0.234958
7.522556 12.050000 0.234040
7.522556 12.100000 0.233122
7.478440 11.000000 0.274735
7.478440 11.050000 0.271473
7.478440 11.100000 0.268211
7.478440 11.150000 0.265103
