#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
7.974142 11.850000 -5.042357
7.974142 11.900000 -4.940261
7.974142 11.950000 -4.600238
7.927927 11.000000 -8.475384
7.927927 11.050000 -8.334150
7.927927 11.100000 -8.227749
7.927927 11.150000 -7.816109
7.927927 11.200000 -7.608631
7.927927 11.250000 -7.468810
7.927927 11.300000 -7.363210
7.927927 11.350000 -6.967494
7.927927 11.400000 -6.763932
7.927927 11.450000 -6.625883
7.927927 11.500000 -6.521293
7.927927 11.550000 -6.144425
7.927927 11.600000 -5.945737
7.927927 11.650000 -5.809925
7.927927 11.700000 -5.706620
7.927927 11.750000 -5.349512
7.927927 11.800000 -5.156230
7.927927 11.850000 -5.022944
7.927927 11.900000 -4.921102
7.927927 11.950000 -4.584197
7.881713 11.000000 -8.438680
7.881713 11.050000 -8.297767
7.881713 11.100000 -8.191546
7.881713 11.150000 -7.783028
7.881713 11.200000 -7.576303
7.881713 11.250000 -7.436822
7.881713 11.300000 -7.331414
7.881713 11.350000 -6.938819
7.881713 11.400000 -6.736045
7.881713 11.450000 -6.598356
7.881713 11.500000 -6.493972
7.881713 11.550000 -6.120177
7.881713 11.600000 -5.922309
7.881713 11.650000 -5.786879
7.881713 11.700000 -5.683793
7.881713 11.750000 -5.329682
7.881713 11.800000 -5.137247
7.881713 11.850000 -5.004362
7.881713 11.900000 -4.902753
7.881713 11.950000 -4.568727
7.881713 12.000000 -4.382172
7.836209 11.000000 -8.403070
7.836209 11.050000 -8.262602
7.836209 11.100000 -8.156633
7.836209 11.150000 -7.752131
7.836209 11.200000 -7.546386
7.836209 11.250000 -7.407346
7.836209 11.300000 -7.302191
7.836209 11.350000 -6.913344
7.836209 11.400000 -6.711527
7.836209 11.450000 -6.574276
7.836209 11.500000 -6.470142
7.836209 11.550000 -6.099788
7.836209 11.600000 -5.902848
7.836209 11.650000 -5.767848
7.836209 11.700000 -5.665012
7.836209 11.750000 -5.314021
7.836209 11.800000 -5.122476
7.836209 11.850000 -4.990012
7.836209 11.900000 -4.888649
7.836209 11.950000 -4.557434
7.836209 12.000000 -4.371730
7.790705 11.000000 -8.370160
7.790705 11.050000 -8.230072
7.790705 11.100000 -8.124320
7.790705 11.150000 -7.723287
7.790705 11.200000 -7.518397
7.790705 11.250000 -7.379745
7.790705 11.300000 -7.274810
7.790705 11.350000 -6.889281
7.790705 11.400000 -6.688320
7.790705 11.450000 -6.551461
7.790705 11.500000 -6.447553
7.790705 11.550000 -6.080314
7.790705 11.600000 -5.884221
7.790705 11.650000 -5.749617
7.790705 11.700000 -5.647009
7.790705 11.750000 -5.298905
7.790705 11.800000 -5.108191
7.790705 11.850000 -4.976122
7.790705 11.900000 -4.874990
7.790705 11.950000 -4.546428
7.790705 12.000000 -4.361534
7.745201 11.000000 -8.339569
7.745201 11.050000 -8.199810
7.745201 11.100000 -8.094245
7.745201 11.150000 -7.696240
7.745201 11.200000 -7.492104
7.745201 11.250000 -7.353794
7.745201 11.300000 -7.249054
7.745201 11.350000 -6.866482
7.745201 11.400000 -6.666290
7.745201 11.450000 -6.529785
7.745201 11.500000 -6.426080
7.745201 11.550000 -6.061676
7.745201 11.600000 -5.866361
7.745201 11.650000 -5.732120
7.745201 11.700000 -5.629723
7.745201 11.750000 -5.284297
7.745201 11.800000 -5.094361
7.745201 11.850000 -4.962663
7.745201 11.900000 -4.861746
7.745201 11.950000 -4.535693
7.745201 12.000000 -4.351571
7.745201 12.050000 -4.222672
7.700397 11.000000 -8.309745
7.700397 11.050000 -8.170411
7.700397 11.100000 -8.065088
7.700397 11.150000 -7.670755
7.700397 11.200000 -7.467542
7.700397 11.250000 -7.329651
7.700397 11.300000 -7.225152
7.700397 11.350000 -6.845991
7.700397 11.400000 -6.646695
7.700397 11.450000 -6.510603
7.700397 11.500000 -6.407136
7.700397 11.550000 -6.045849
7.700397 11.600000 -5.851397
7.700397 11.650000 -5.717561
7.700397 11.700000 -5.615399
7.700397 11.750000 -5.272792
7.700397 11.800000 -5.083681
7.700397 11.850000 -4.952376
7.700397 11.900000 -4.851691
7.700397 11.950000 -4.528176
7.700397 12.000000 -4.344842
7.700397 12.050000 -4.216326
7.655592 11.000000 -8.281839
7.655592 11.050000 -8.142877
7.655592 11.100000 -8.037766
7.655592 11.150000 -7.646683
7.655592 11.200000 -7.444294
7.655592 11.250000 -7.306781
7.655592 11.300000 -7.202497
7.655592 11.350000 -6.826423
7.655592 11.400000 -6.627946
7.655592 11.450000 -6.492232
7.655592 11.500000 -6.388984
7.655592 11.550000 -6.030579
7.655592 11.600000 -5.836932
7.655592 11.650000 -5.703475
7.655592 11.700000 -5.601533
7.655592 11.750000 -5.261583
7.655592 11.800000 -5.073257
7.655592 11.850000 -4.942328
7.655592 11.900000 -4.841863
7.655592 11.950000 -4.520787
7.655592 12.000000 -4.338215
7.655592 12.050000 -4.210071
7.610788 11.000000 -8.255618
7.610788 11.050000 -8.116986
7.610788 11.100000 -8.012062
7.610788 11.150000 -7.623876
7.610788 11.200000 -7.422229
7.610788 11.250000 -7.285055
7.610788 11.300000 -7.180966
7.610788 11.350000 -6.807699
7.610788 11.400000 -6.609973
7.610788 11.450000 -6.474608
7.610788 11.500000 -6.371560
7.610788 11.550000 -6.015828
7.610788 11.600000 -5.822934
7.610788 11.650000 -5.689831
7.610788 11.700000 -5.588095
7.610788 11.750000 -5.250657
7.610788 11.800000 -5.063078
7.610788 11.850000 -4.932507
7.610788 11.900000 -4.832253
7.610788 11.950000 -4.513522
7.610788 12.000000 -4.331687
7.610788 12.050000 -4.203905
7.610788 12.100000 -4.105298
