#Average black hole accretion rate (BHAR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR)@log(Mpeak)=12 log10(BHAR)_16@log(Mpeak)=12 log10(BHAR)_84@log(Mpeak)=12 log10(BHAR)@log(Mpeak)=13 log10(BHAR)_16@log(Mpeak)=13 log10(BHAR)_84@log(Mpeak)=13 log10(BHAR)@log(Mpeak)=14 log10(BHAR)_16@log(Mpeak)=14 log10(BHAR)_84@log(Mpeak)=14 log10(BHAR)@log(Mpeak)=15 log10(BHAR)_16@log(Mpeak)=15 log10(BHAR)_84@log(Mpeak)=15
7.832998 -12.420930 -13.444836 -11.821539 -9.824136 -10.641551 -9.358042 -7.644400 -8.267679 -7.254778 -5.730787 -6.222327 -5.431963
7.811959 -12.358311 -13.374150 -11.763794 -9.767050 -10.577476 -9.305290 -7.592042 -8.210044 -7.206606 -5.682892 -6.169378 -5.387443
7.790969 -12.295692 -13.303464 -11.706048 -9.709964 -10.513400 -9.252537 -7.539684 -8.152409 -7.158433 -5.634996 -6.116429 -5.342924
7.770029 -12.233073 -13.232778 -11.648303 -9.652878 -10.449325 -9.199785 -7.487326 -8.094774 -7.110261 -5.587101 -6.063480 -5.298404
7.749140 -12.170454 -13.162091 -11.590558 -9.595792 -10.385250 -9.147033 -7.434969 -8.037139 -7.062089 -5.539205 -6.010532 -5.253885
7.728300 -12.110715 -13.094852 -11.535557 -9.541340 -10.323889 -9.096485 -7.385038 -7.982227 -7.016176 -5.493533 -5.960025 -5.211460
7.707509 -12.051648 -13.028415 -11.481196 -9.487500 -10.263160 -9.046451 -7.335673 -7.927948 -6.970788 -5.448378 -5.910087 -5.169523
7.686768 -11.992580 -12.961978 -11.426834 -9.433661 -10.202430 -8.996417 -7.286307 -7.873670 -6.925401 -5.403223 -5.860149 -5.127586
7.666077 -11.933512 -12.895541 -11.372472 -9.379822 -10.141701 -8.946383 -7.236942 -7.819392 -6.880013 -5.358068 -5.810212 -5.085649
7.645435 -11.874444 -12.829104 -11.318111 -9.325982 -10.080972 -8.896349 -7.187576 -7.765113 -6.834626 -5.312912 -5.760274 -5.043712
7.624842 -11.815376 -12.762666 -11.263749 -9.272143 -10.020243 -8.846314 -7.138210 -7.710835 -6.789238 -5.267757 -5.710336 -5.001775
7.604298 -11.757361 -12.697419 -11.210360 -9.219265 -9.960671 -8.797125 -7.089721 -7.657405 -6.744636 -5.223411 -5.661311 -4.960567
7.583803 -11.701622 -12.634743 -11.159074 -9.168466 -9.903599 -8.749762 -7.043124 -7.605811 -6.701732 -5.180815 -5.614261 -4.920935
