#Average average black hole accretion rate (BHAR) to star formation rate (SFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR/SFR)
7.790705 12.000000 -3.529945
7.745201 11.000000 -5.823570
7.745201 11.050000 -5.694622
7.745201 11.100000 -5.565675
7.745201 11.150000 -5.441337
7.745201 11.200000 -5.316998
7.745201 11.250000 -5.192660
7.745201 11.300000 -5.068323
7.745201 11.350000 -4.949489
7.745201 11.400000 -4.830656
7.745201 11.450000 -4.711824
7.745201 11.500000 -4.592991
7.745201 11.550000 -4.480451
7.745201 11.600000 -4.367911
7.745201 11.650000 -4.255372
7.745201 11.700000 -4.142833
7.745201 11.750000 -4.037131
7.745201 11.800000 -3.931429
7.745201 11.850000 -3.825728
7.745201 11.900000 -3.720026
7.745201 11.950000 -3.621292
7.745201 12.000000 -3.522557
7.745201 12.050000 -3.423823
7.700397 11.000000 -5.799631
7.700397 11.050000 -5.671720
7.700397 11.100000 -5.543809
7.700397 11.150000 -5.420474
7.700397 11.200000 -5.297138
7.700397 11.250000 -5.173802
7.700397 11.300000 -5.050466
7.700397 11.350000 -4.932591
7.700397 11.400000 -4.814715
7.700397 11.450000 -4.696840
7.700397 11.500000 -4.578964
7.700397 11.550000 -4.467327
7.700397 11.600000 -4.355691
7.700397 11.650000 -4.244053
7.700397 11.700000 -4.132416
7.700397 11.750000 -4.027554
7.700397 11.800000 -3.922693
7.700397 11.850000 -3.817831
7.700397 11.900000 -3.712970
7.700397 11.950000 -3.615016
7.700397 12.000000 -3.517061
7.700397 12.050000 -3.419107
7.655592 11.000000 -5.775692
7.655592 11.050000 -5.648818
7.655592 11.100000 -5.521944
7.655592 11.150000 -5.399610
7.655592 11.200000 -5.277277
7.655592 11.250000 -5.154943
7.655592 11.300000 -5.032610
7.655592 11.350000 -4.915692
7.655592 11.400000 -4.798774
7.655592 11.450000 -4.681856
7.655592 11.500000 -4.564939
7.655592 11.550000 -4.454204
7.655592 11.600000 -4.343469
7.655592 11.650000 -4.232734
7.655592 11.700000 -4.122000
7.655592 11.750000 -4.017978
7.655592 11.800000 -3.913956
7.655592 11.850000 -3.809935
7.655592 11.900000 -3.705913
7.655592 11.950000 -3.608740
7.655592 12.000000 -3.511567
7.655592 12.050000 -3.414393
7.610788 11.000000 -5.751753
7.610788 11.050000 -5.625916
7.610788 11.100000 -5.500078
7.610788 11.150000 -5.378747
7.610788 11.200000 -5.257416
7.610788 11.250000 -5.136085
7.610788 11.300000 -5.014754
7.610788 11.350000 -4.898794
7.610788 11.400000 -4.782833
7.610788 11.450000 -4.666873
7.610788 11.500000 -4.550912
7.610788 11.550000 -4.441079
7.610788 11.600000 -4.331248
7.610788 11.650000 -4.221415
7.610788 11.700000 -4.111583
7.610788 11.750000 -4.008401
7.610788 11.800000 -3.905220
7.610788 11.850000 -3.802039
