#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "no mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
7.974142 11.150000 0.459599
7.974142 11.200000 0.456342
7.974142 11.250000 0.453086
7.974142 11.300000 0.449829
7.974142 11.350000 0.446756
7.974142 11.400000 0.443683
7.974142 11.450000 0.440610
7.974142 11.500000 0.437537
7.974142 11.550000 0.434818
7.974142 11.600000 0.432098
7.974142 11.650000 0.429378
7.974142 11.700000 0.426659
7.974142 11.750000 0.424508
7.974142 11.800000 0.422358
7.974142 11.850000 0.420207
7.974142 11.900000 0.418057
7.974142 11.950000 0.416665
7.927927 11.000000 0.459922
7.927927 11.050000 0.456598
7.927927 11.100000 0.453274
7.927927 11.150000 0.450002
7.927927 11.200000 0.446731
7.927927 11.250000 0.443460
7.927927 11.300000 0.440189
7.927927 11.350000 0.437088
7.927927 11.400000 0.433988
7.927927 11.450000 0.430887
7.927927 11.500000 0.427786
7.927927 11.550000 0.425023
7.927927 11.600000 0.422260
7.927927 11.650000 0.419496
7.927927 11.700000 0.416733
7.927927 11.750000 0.414522
7.927927 11.800000 0.412310
7.927927 11.850000 0.410099
7.927927 11.900000 0.407888
7.927927 11.950000 0.406418
7.881713 11.000000 0.450350
7.881713 11.050000 0.447021
7.881713 11.100000 0.443692
7.881713 11.150000 0.440406
7.881713 11.200000 0.437120
7.881713 11.250000 0.433834
7.881713 11.300000 0.430549
7.881713 11.350000 0.427420
7.881713 11.400000 0.424292
7.881713 11.450000 0.421164
7.881713 11.500000 0.418036
7.881713 11.550000 0.415229
7.881713 11.600000 0.412421
7.881713 11.650000 0.409614
7.881713 11.700000 0.406807
7.881713 11.750000 0.404535
7.881713 11.800000 0.402263
7.881713 11.850000 0.399991
7.881713 11.900000 0.397719
7.881713 11.950000 0.396171
7.881713 12.000000 0.394622
7.836209 11.000000 0.438105
7.836209 11.050000 0.434765
7.836209 11.100000 0.431426
7.836209 11.150000 0.428138
7.836209 11.200000 0.424850
7.836209 11.250000 0.421562
7.836209 11.300000 0.418274
7.836209 11.350000 0.415153
7.836209 11.400000 0.412032
7.836209 11.450000 0.408911
7.836209 11.500000 0.405789
7.836209 11.550000 0.402999
7.836209 11.600000 0.400208
7.836209 11.650000 0.397417
7.836209 11.700000 0.394626
7.836209 11.750000 0.392380
7.836209 11.800000 0.390134
7.836209 11.850000 0.387888
7.836209 11.900000 0.385641
7.836209 11.950000 0.384123
7.836209 12.000000 0.382605
7.790705 11.000000 0.425859
7.790705 11.050000 0.422509
7.790705 11.100000 0.419160
7.790705 11.150000 0.415870
7.790705 11.200000 0.412580
7.790705 11.250000 0.409290
7.790705 11.300000 0.406000
7.790705 11.350000 0.402886
7.790705 11.400000 0.399772
7.790705 11.450000 0.396657
7.790705 11.500000 0.393543
7.790705 11.550000 0.390769
7.790705 11.600000 0.387994
7.790705 11.650000 0.385219
7.790705 11.700000 0.382445
7.790705 11.750000 0.380225
7.790705 11.800000 0.378004
7.790705 11.850000 0.375784
7.790705 11.900000 0.373564
7.790705 11.950000 0.372075
7.790705 12.000000 0.370587
7.745201 11.000000 0.413613
7.745201 11.050000 0.410254
7.745201 11.100000 0.406894
7.745201 11.150000 0.403602
7.745201 11.200000 0.400310
7.745201 11.250000 0.397018
7.745201 11.300000 0.393726
7.745201 11.350000 0.390619
7.745201 11.400000 0.387511
7.745201 11.450000 0.384404
7.745201 11.500000 0.381297
7.745201 11.550000 0.378539
7.745201 11.600000 0.375780
7.745201 11.650000 0.373022
7.745201 11.700000 0.370264
7.745201 11.750000 0.368069
7.745201 11.800000 0.365875
7.745201 11.850000 0.363680
7.745201 11.900000 0.361486
7.745201 11.950000 0.360028
7.745201 12.000000 0.358570
7.745201 12.050000 0.357112
7.700397 11.000000 0.402203
7.700397 11.050000 0.398860
7.700397 11.100000 0.395516
7.700397 11.150000 0.392250
7.700397 11.200000 0.388984
7.700397 11.250000 0.385718
7.700397 11.300000 0.382452
7.700397 11.350000 0.379382
7.700397 11.400000 0.376311
7.700397 11.450000 0.373241
7.700397 11.500000 0.370170
7.700397 11.550000 0.367460
7.700397 11.600000 0.364749
7.700397 11.650000 0.362038
7.700397 11.700000 0.359327
7.700397 11.750000 0.357190
7.700397 11.800000 0.355053
7.700397 11.850000 0.352915
7.700397 11.900000 0.350778
7.700397 11.950000 0.349382
7.700397 12.000000 0.347987
7.700397 12.050000 0.346592
7.655592 11.000000 0.390793
7.655592 11.050000 0.387466
7.655592 11.100000 0.384138
7.655592 11.150000 0.380898
7.655592 11.200000 0.377658
7.655592 11.250000 0.374418
7.655592 11.300000 0.371178
7.655592 11.350000 0.368144
7.655592 11.400000 0.365111
7.655592 11.450000 0.362077
7.655592 11.500000 0.359044
7.655592 11.550000 0.356381
7.655592 11.600000 0.353717
7.655592 11.650000 0.351054
7.655592 11.700000 0.348391
7.655592 11.750000 0.346311
7.655592 11.800000 0.344230
7.655592 11.850000 0.342150
7.655592 11.900000 0.340070
7.655592 11.950000 0.338737
7.655592 12.000000 0.337405
7.655592 12.050000 0.336072
7.610788 11.000000 0.379384
7.610788 11.050000 0.376072
7.610788 11.100000 0.372760
7.610788 11.150000 0.369546
7.610788 11.200000 0.366332
7.610788 11.250000 0.363118
7.610788 11.300000 0.359904
7.610788 11.350000 0.356907
7.610788 11.400000 0.353911
7.610788 11.450000 0.350914
7.610788 11.500000 0.347917
7.610788 11.550000 0.345302
7.610788 11.600000 0.342686
7.610788 11.650000 0.340070
7.610788 11.700000 0.337455
7.610788 11.750000 0.335431
7.610788 11.800000 0.333408
7.610788 11.850000 0.331385
7.610788 11.900000 0.329362
7.610788 11.950000 0.328092
7.610788 12.000000 0.326822
7.610788 12.050000 0.325552
7.610788 12.100000 0.324282
7.566672 11.000000 0.368687
7.566672 11.050000 0.365413
7.566672 11.100000 0.362139
7.566672 11.150000 0.358974
7.566672 11.200000 0.355809
7.566672 11.250000 0.352644
7.566672 11.300000 0.349479
7.566672 11.350000 0.346544
7.566672 11.400000 0.343608
7.566672 11.450000 0.340673
7.566672 11.500000 0.337737
7.566672 11.550000 0.335193
7.566672 11.600000 0.332649
7.566672 11.650000 0.330105
7.566672 11.700000 0.327561
