#Median black hole mass--galaxy total stellar mass relation from z=0-5 from IllustrisTNG300.
#Ref: Habouzit et al. 2020, https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1940H/abstract
#z log10(Mstar)[Msun] log10(Mbh_median)[Msun]
4.000000 9.423281 6.191879
4.000000 9.443656 6.196836
4.000000 9.464031 6.201793
4.000000 9.484406 6.206749
4.000000 9.504781 6.211706
4.000000 9.525157 6.216663
4.000000 9.545532 6.221620
4.000000 9.565907 6.226576
4.000000 9.586282 6.231533
4.000000 9.606657 6.236490
4.000000 9.627032 6.243891
4.000000 9.647407 6.257222
4.000000 9.667783 6.270552
4.000000 9.688158 6.283883
4.000000 9.708533 6.297214
4.000000 9.728908 6.310545
4.000000 9.749283 6.323876
4.000000 9.769658 6.337207
4.000000 9.790033 6.350538
4.000000 9.810409 6.363869
4.000000 9.830784 6.377200
4.000000 9.851159 6.390531
4.000000 9.871534 6.410964
4.000000 9.891909 6.448812
4.000000 9.912284 6.486659
4.000000 9.932659 6.524506
4.000000 9.953035 6.562353
4.000000 9.973410 6.600201
4.000000 9.993785 6.638837
4.000000 10.014160 6.678571
4.000000 10.034535 6.718306
4.000000 10.054910 6.758040
4.000000 10.075285 6.797774
4.000000 10.095661 6.837509
4.000000 10.116036 6.877243
4.000000 10.136411 6.930486
4.000000 10.156786 6.989331
4.000000 10.177161 7.048175
4.000000 10.197536 7.107020
4.000000 10.217911 7.165864
4.000000 10.238287 7.224708
4.000000 10.258662 7.283553
4.000000 10.279037 7.342397
4.000000 10.299412 7.401242
4.000000 10.319787 7.460086
4.000000 10.340162 7.518930
4.000000 10.360537 7.570505
4.000000 10.380913 7.597260
4.000000 10.401288 7.624015
4.000000 10.421663 7.650769
4.000000 10.442038 7.677524
4.000000 10.462413 7.704279
4.000000 10.482788 7.731033
4.000000 10.503163 7.757788
4.000000 10.523539 7.784542
4.000000 10.543914 7.811297
4.000000 10.564289 7.838052
4.000000 10.584664 7.864806
4.000000 10.605039 7.891561
4.000000 10.625414 7.908906
4.000000 10.645789 7.925583
4.000000 10.666165 7.942261
4.000000 10.686540 7.958938
4.000000 10.706915 7.975616
4.000000 10.727290 7.992293
4.000000 10.747665 8.008971
4.000000 10.768040 8.025648
4.000000 10.788415 8.042325
4.000000 10.808791 8.059003
4.000000 10.829166 8.075680
4.000000 10.849541 8.092673
4.000000 10.869916 8.110864
4.000000 10.890291 8.129056
4.000000 10.910666 8.147247
4.000000 10.931041 8.165439
4.000000 10.951417 8.183631
4.000000 10.971792 8.201822
4.000000 10.992167 8.220014
4.000000 11.012542 8.238206
4.000000 11.032917 8.256397
4.000000 11.053292 8.274589
4.000000 11.073667 8.292781
4.000000 11.094043 8.330897
4.000000 11.114418 8.390512
4.000000 11.134793 8.450127
4.000000 11.155168 8.509743
4.000000 11.175543 8.569358
4.000000 11.195918 8.628974
4.000000 11.216293 8.688589
4.000000 11.236669 8.748205
4.000000 11.257044 8.807820
4.000000 11.277419 8.867436
4.000000 11.297794 8.927051
4.000000 11.318169 8.986667
5.000000 9.301030 6.148728
5.000000 9.319495 6.151069
5.000000 9.337959 6.154263
5.000000 9.356424 6.157472
5.000000 9.374889 6.160997
5.000000 9.393354 6.165698
5.000000 9.411819 6.170399
5.000000 9.430283 6.175100
5.000000 9.448748 6.179801
5.000000 9.467213 6.184501
5.000000 9.485678 6.189202
5.000000 9.504142 6.193903
5.000000 9.522607 6.198604
5.000000 9.541072 6.203305
5.000000 9.559537 6.208006
5.000000 9.578001 6.212706
5.000000 9.596466 6.217407
5.000000 9.614931 6.222108
5.000000 9.633396 6.232861
5.000000 9.651860 6.243765
5.000000 9.670325 6.254669
5.000000 9.688790 6.265573
5.000000 9.707255 6.276476
5.000000 9.725719 6.287380
5.000000 9.744184 6.298284
5.000000 9.762649 6.309188
5.000000 9.781114 6.320091
5.000000 9.799578 6.330995
5.000000 9.818043 6.341899
5.000000 9.836508 6.352803
5.000000 9.854973 6.363706
5.000000 9.873437 6.376165
5.000000 9.891902 6.400348
5.000000 9.910367 6.424531
5.000000 9.928832 6.448713
5.000000 9.947296 6.472896
5.000000 9.965761 6.497079
5.000000 9.984226 6.521262
5.000000 10.002691 6.545445
5.000000 10.021155 6.569627
5.000000 10.039620 6.593810
5.000000 10.058085 6.619250
5.000000 10.076550 6.645676
5.000000 10.095014 6.672102
5.000000 10.113479 6.698528
5.000000 10.131944 6.736213
5.000000 10.150409 6.775728
5.000000 10.168873 6.815243
5.000000 10.187338 6.854759
5.000000 10.205803 6.894274
5.000000 10.224268 6.933789
5.000000 10.242732 6.973305
5.000000 10.261197 7.012820
5.000000 10.279662 7.052335
