#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
7.745201 11.450000 6.535297
7.745201 11.500000 6.652307
7.745201 11.550000 6.764881
7.745201 11.600000 6.877456
7.745201 11.650000 6.990030
7.745201 11.700000 7.102604
7.745201 11.750000 7.210418
7.745201 11.800000 7.318232
7.745201 11.850000 7.426045
7.745201 11.900000 7.533859
7.745201 11.950000 7.636920
7.745201 12.000000 7.739980
7.745201 12.050000 7.843041
7.700397 11.000000 5.449493
7.700397 11.050000 5.573504
7.700397 11.100000 5.697516
7.700397 11.150000 5.818243
7.700397 11.200000 5.938971
7.700397 11.250000 6.059698
7.700397 11.300000 6.180426
7.700397 11.350000 6.297253
7.700397 11.400000 6.414081
7.700397 11.450000 6.530909
7.700397 11.500000 6.647737
7.700397 11.550000 6.760152
7.700397 11.600000 6.872568
7.700397 11.650000 6.984983
7.700397 11.700000 7.097399
7.700397 11.750000 7.205075
7.700397 11.800000 7.312751
7.700397 11.850000 7.420427
7.700397 11.900000 7.528103
7.700397 11.950000 7.631042
7.700397 12.000000 7.733980
7.700397 12.050000 7.836918
7.655592 11.000000 5.446910
7.655592 11.050000 5.570699
7.655592 11.100000 5.694487
7.655592 11.150000 5.815011
7.655592 11.200000 5.935535
7.655592 11.250000 6.056059
7.655592 11.300000 6.176583
7.655592 11.350000 6.293229
7.655592 11.400000 6.409875
7.655592 11.450000 6.526521
7.655592 11.500000 6.643167
7.655592 11.550000 6.755424
7.655592 11.600000 6.867680
7.655592 11.650000 6.979937
7.655592 11.700000 7.092193
7.655592 11.750000 7.199732
7.655592 11.800000 7.307270
7.655592 11.850000 7.414809
7.655592 11.900000 7.522347
7.655592 11.950000 7.625164
7.655592 12.000000 7.727980
7.655592 12.050000 7.830796
7.610788 11.000000 5.444326
7.610788 11.050000 5.567893
7.610788 11.100000 5.691459
7.610788 11.150000 5.811779
7.610788 11.200000 5.932100
7.610788 11.250000 6.052420
7.610788 11.300000 6.172740
7.610788 11.350000 6.289204
7.610788 11.400000 6.405668
7.610788 11.450000 6.522133
7.610788 11.500000 6.638597
7.610788 11.550000 6.750695
7.610788 11.600000 6.862792
7.610788 11.650000 6.974890
7.610788 11.700000 7.086988
7.610788 11.750000 7.194389
7.610788 11.800000 7.301790
7.610788 11.850000 7.409191
7.610788 11.900000 7.516592
7.610788 11.950000 7.619285
7.610788 12.000000 7.721979
7.610788 12.050000 7.824673
7.610788 12.100000 7.927367
7.566672 11.000000 5.440042
7.566672 11.050000 5.563400
7.566672 11.100000 5.686758
7.566672 11.150000 5.806890
7.566672 11.200000 5.927022
7.566672 11.250000 6.047155
7.566672 11.300000 6.167287
7.566672 11.350000 6.283587
7.566672 11.400000 6.399887
7.566672 11.450000 6.516187
7.566672 11.500000 6.632486
7.566672 11.550000 6.744444
7.566672 11.600000 6.856401
