#Average average specific black hole accretion rate (SBHAR) to specific star formation rate (SSFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SBHAR/SSFR)
7.700397 11.650000 0.137107
7.700397 11.700000 0.131763
7.700397 11.750000 0.126423
7.700397 11.800000 0.121082
7.700397 11.850000 0.115742
7.700397 11.900000 0.110401
7.700397 11.950000 0.105202
7.700397 12.000000 0.100005
7.700397 12.050000 0.094806
7.655592 11.000000 0.202355
7.655592 11.050000 0.197499
7.655592 11.100000 0.192643
7.655592 11.150000 0.187565
7.655592 11.200000 0.182486
7.655592 11.250000 0.177408
7.655592 11.300000 0.172329
7.655592 11.350000 0.167072
7.655592 11.400000 0.161817
7.655592 11.450000 0.156561
7.655592 11.500000 0.151304
7.655592 11.550000 0.145950
7.655592 11.600000 0.140595
7.655592 11.650000 0.135240
7.655592 11.700000 0.129885
7.655592 11.750000 0.124549
7.655592 11.800000 0.119214
7.655592 11.850000 0.113877
7.655592 11.900000 0.108541
7.655592 11.950000 0.103358
7.655592 12.000000 0.098174
7.655592 12.050000 0.092990
7.610788 11.000000 0.200882
7.610788 11.050000 0.195974
7.610788 11.100000 0.191067
7.610788 11.150000 0.185949
7.610788 11.200000 0.180831
7.610788 11.250000 0.175712
7.610788 11.300000 0.170595
7.610788 11.350000 0.165313
7.610788 11.400000 0.160032
7.610788 11.450000 0.154751
7.610788 11.500000 0.149469
7.610788 11.550000 0.144105
7.610788 11.600000 0.138738
7.610788 11.650000 0.133374
7.610788 11.700000 0.128008
7.610788 11.750000 0.122677
7.610788 11.800000 0.117344
7.610788 11.850000 0.112012
7.610788 11.900000 0.106680
7.610788 11.950000 0.101512
7.610788 12.000000 0.096343
7.610788 12.050000 0.091175
7.610788 12.100000 0.086006
7.566672 11.000000 0.199334
7.566672 11.050000 0.194387
7.566672 11.100000 0.189439
7.566672 11.150000 0.184294
7.566672 11.200000 0.179149
7.566672 11.250000 0.174006
7.566672 11.300000 0.168862
7.566672 11.350000 0.163570
7.566672 11.400000 0.158277
7.566672 11.450000 0.152985
7.566672 11.500000 0.147694
7.566672 11.550000 0.142331
7.566672 11.600000 0.136970
7.566672 11.650000 0.131610
7.566672 11.700000 0.126248
7.566672 11.750000 0.120936
7.566672 11.800000 0.115623
7.566672 11.850000 0.110310
7.566672 11.900000 0.104998
7.566672 11.950000 0.099859
7.566672 12.000000 0.094720
7.566672 12.050000 0.089581
7.566672 12.100000 0.084442
7.522556 11.000000 0.197786
7.522556 11.050000 0.192798
7.522556 11.100000 0.187811
7.522556 11.150000 0.182640
7.522556 11.200000 0.177470
7.522556 11.250000 0.172299
7.522556 11.300000 0.167128
7.522556 11.350000 0.161824
7.522556 11.400000 0.156521
7.522556 11.450000 0.151218
7.522556 11.500000 0.145916
7.522556 11.550000 0.140559
7.522556 11.600000 0.135203
7.522556 11.650000 0.129848
