#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
7.790705 11.850000 6.427770
7.790705 11.900000 6.616226
7.790705 11.950000 6.796806
7.790705 12.000000 6.977386
7.745201 11.000000 3.042734
7.745201 11.050000 3.254639
7.745201 11.100000 3.466545
7.745201 11.150000 3.673770
7.745201 11.200000 3.880995
7.745201 11.250000 4.088220
7.745201 11.300000 4.295446
7.745201 11.350000 4.496967
7.745201 11.400000 4.698488
7.745201 11.450000 4.900010
7.745201 11.500000 5.101531
7.745201 11.550000 5.296380
7.745201 11.600000 5.491230
7.745201 11.650000 5.686080
7.745201 11.700000 5.880929
7.745201 11.750000 6.068319
7.745201 11.800000 6.255708
7.745201 11.850000 6.443098
7.745201 11.900000 6.630487
7.745201 11.950000 6.810053
7.745201 12.000000 6.989619
7.745201 12.050000 7.169185
7.700397 11.000000 3.072773
7.700397 11.050000 3.283522
7.700397 11.100000 3.494272
7.700397 11.150000 3.700364
7.700397 11.200000 3.906457
7.700397 11.250000 4.112550
7.700397 11.300000 4.318642
7.700397 11.350000 4.519064
7.700397 11.400000 4.719486
7.700397 11.450000 4.919908
7.700397 11.500000 5.120330
7.700397 11.550000 5.314122
7.700397 11.600000 5.507915
7.700397 11.650000 5.701708
7.700397 11.700000 5.895500
7.700397 11.750000 6.081883
7.700397 11.800000 6.268266
7.700397 11.850000 6.454648
7.700397 11.900000 6.641031
7.700397 11.950000 6.819639
7.700397 12.000000 6.998246
7.700397 12.050000 7.176854
7.655592 11.000000 3.102812
7.655592 11.050000 3.312405
7.655592 11.100000 3.521999
7.655592 11.150000 3.726959
7.655592 11.200000 3.931919
7.655592 11.250000 4.136879
7.655592 11.300000 4.341839
7.655592 11.350000 4.541162
7.655592 11.400000 4.740484
7.655592 11.450000 4.939806
7.655592 11.500000 5.139128
7.655592 11.550000 5.331864
7.655592 11.600000 5.524600
7.655592 11.650000 5.717336
7.655592 11.700000 5.910072
7.655592 11.750000 6.095448
7.655592 11.800000 6.280823
7.655592 11.850000 6.466199
7.655592 11.900000 6.651575
7.655592 11.950000 6.829224
7.655592 12.000000 7.006873
7.655592 12.050000 7.184523
7.610788 11.000000 3.132851
7.610788 11.050000 3.341289
7.610788 11.100000 3.549726
7.610788 11.150000 3.753554
7.610788 11.200000 3.957381
7.610788 11.250000 4.161209
7.610788 11.300000 4.365036
7.610788 11.350000 4.563259
7.610788 11.400000 4.761482
7.610788 11.450000 4.959704
7.610788 11.500000 5.157927
7.610788 11.550000 5.349606
7.610788 11.600000 5.541285
7.610788 11.650000 5.732964
7.610788 11.700000 5.924643
7.610788 11.750000 6.109012
7.610788 11.800000 6.293381
7.610788 11.850000 6.477750
7.610788 11.900000 6.662119
7.610788 11.950000 6.838810
7.610788 12.000000 7.015501
7.610788 12.050000 7.192192
7.610788 12.100000 7.368883
7.566672 11.000000 3.158709
7.566672 11.050000 3.366045
7.566672 11.100000 3.573380
7.566672 11.150000 3.776133
7.566672 11.200000 3.978885
7.566672 11.250000 4.181637
7.566672 11.300000 4.384389
7.566672 11.350000 4.581572
7.566672 11.400000 4.778756
7.566672 11.450000 4.975939
7.566672 11.500000 5.173122
7.566672 11.550000 5.363806
7.566672 11.600000 5.554491
7.566672 11.650000 5.745175
7.566672 11.700000 5.935859
7.566672 11.750000 6.119284
7.566672 11.800000 6.302709
7.566672 11.850000 6.486133
7.566672 11.900000 6.669558
7.566672 11.950000 6.845351
7.566672 12.000000 7.021144
7.566672 12.050000 7.196936
7.566672 12.100000 7.372729
7.522556 11.000000 3.184567
7.522556 11.050000 3.390801
7.522556 11.100000 3.597034
7.522556 11.150000 3.798711
7.522556 11.200000 4.000388
7.522556 11.250000 4.202065
7.522556 11.300000 4.403742
7.522556 11.350000 4.599886
7.522556 11.400000 4.796030
7.522556 11.450000 4.992174
7.522556 11.500000 5.188317
7.522556 11.550000 5.378007
7.522556 11.600000 5.567696
7.522556 11.650000 5.757385
7.522556 11.700000 5.947074
7.522556 11.750000 6.129555
7.522556 11.800000 6.312036
7.522556 11.850000 6.494517
7.522556 11.900000 6.676998
7.522556 11.950000 6.851892
7.522556 12.000000 7.026787
