#Average star formation rate (SFR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SFR)[Msun]
7.836209 11.250000 1.671653
7.836209 11.300000 1.751317
7.836209 11.350000 1.830956
7.836209 11.400000 1.910596
7.836209 11.450000 1.990236
7.836209 11.500000 2.069875
7.836209 11.550000 2.149483
7.836209 11.600000 2.229090
7.836209 11.650000 2.308697
7.836209 11.700000 2.388305
7.836209 11.750000 2.467864
7.836209 11.800000 2.547423
7.836209 11.850000 2.626982
7.836209 11.900000 2.706541
7.836209 11.950000 2.786008
7.836209 12.000000 2.865474
7.790705 11.000000 1.270307
7.790705 11.050000 1.349866
7.790705 11.100000 1.429426
7.790705 11.150000 1.508965
7.790705 11.200000 1.588505
7.790705 11.250000 1.668044
7.790705 11.300000 1.747584
7.790705 11.350000 1.827098
7.790705 11.400000 1.906613
7.790705 11.450000 1.986128
7.790705 11.500000 2.065643
7.790705 11.550000 2.145124
7.790705 11.600000 2.224606
7.790705 11.650000 2.304088
7.790705 11.700000 2.383570
7.790705 11.750000 2.463002
7.790705 11.800000 2.542434
7.790705 11.850000 2.621866
7.790705 11.900000 2.701298
7.790705 11.950000 2.780633
7.790705 12.000000 2.859968
7.745201 11.000000 1.267320
7.745201 11.050000 1.346755
7.745201 11.100000 1.426190
7.745201 11.150000 1.505605
7.745201 11.200000 1.585020
7.745201 11.250000 1.664435
7.745201 11.300000 1.743851
7.745201 11.350000 1.823240
7.745201 11.400000 1.902630
7.745201 11.450000 1.982020
7.745201 11.500000 2.061410
7.745201 11.550000 2.140766
7.745201 11.600000 2.220122
7.745201 11.650000 2.299479
7.745201 11.700000 2.378835
7.745201 11.750000 2.458140
7.745201 11.800000 2.537445
7.745201 11.850000 2.616750
7.745201 11.900000 2.696055
7.745201 11.950000 2.775259
7.745201 12.000000 2.854463
7.745201 12.050000 2.933667
7.700397 11.000000 1.263662
7.700397 11.050000 1.342992
7.700397 11.100000 1.422322
7.700397 11.150000 1.501632
7.700397 11.200000 1.580942
7.700397 11.250000 1.660251
7.700397 11.300000 1.739561
7.700397 11.350000 1.818845
7.700397 11.400000 1.898129
7.700397 11.450000 1.977413
7.700397 11.500000 2.056697
7.700397 11.550000 2.135947
7.700397 11.600000 2.215197
7.700397 11.650000 2.294446
7.700397 11.700000 2.373696
7.700397 11.750000 2.452892
7.700397 11.800000 2.532089
7.700397 11.850000 2.611285
7.700397 11.900000 2.690482
7.700397 11.950000 2.769573
7.700397 12.000000 2.848664
7.700397 12.050000 2.927755
7.655592 11.000000 1.260004
7.655592 11.050000 1.339229
7.655592 11.100000 1.418454
7.655592 11.150000 1.497658
7.655592 11.200000 1.576863
7.655592 11.250000 1.656067
7.655592 11.300000 1.735272
7.655592 11.350000 1.814450
7.655592 11.400000 1.893628
7.655592 11.450000 1.972806
7.655592 11.500000 2.051985
7.655592 11.550000 2.131128
7.655592 11.600000 2.210271
7.655592 11.650000 2.289414
7.655592 11.700000 2.368557
7.655592 11.750000 2.447645
7.655592 11.800000 2.526733
7.655592 11.850000 2.605821
7.655592 11.900000 2.684909
7.655592 11.950000 2.763888
7.655592 12.000000 2.842866
7.655592 12.050000 2.921844
7.610788 11.000000 1.256346
7.610788 11.050000 1.335466
7.610788 11.100000 1.414586
7.610788 11.150000 1.493685
7.610788 11.200000 1.572784
7.610788 11.250000 1.651883
7.610788 11.300000 1.730982
7.610788 11.350000 1.810055
7.610788 11.400000 1.889127
7.610788 11.450000 1.968200
7.610788 11.500000 2.047272
7.610788 11.550000 2.126308
7.610788 11.600000 2.205345
7.610788 11.650000 2.284381
7.610788 11.700000 2.363418
7.610788 11.750000 2.442397
7.610788 11.800000 2.521377
7.610788 11.850000 2.600357
7.610788 11.900000 2.679337
7.610788 11.950000 2.758202
7.610788 12.000000 2.837067
7.610788 12.050000 2.915933
7.610788 12.100000 2.994798
7.566672 11.000000 1.252047
7.566672 11.050000 1.331080
7.566672 11.100000 1.410114
7.566672 11.150000 1.489126
