#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.117020 10.200000 -24.951384
14.117020 10.250000 -24.381046
14.038768 8.000000 -43.293894
14.038768 8.050000 -43.293894
14.038768 8.100000 -43.293894
14.038768 8.150000 -43.293894
14.038768 8.200000 -43.293894
14.038768 8.250000 -43.293894
14.038768 8.300000 -43.293894
14.038768 8.350000 -43.293894
14.038768 8.400000 -43.293894
14.038768 8.450000 -43.293894
14.038768 8.500000 -43.293894
14.038768 8.550000 -42.853945
14.038768 8.600000 -42.413995
14.038768 8.650000 -41.974046
14.038768 8.700000 -41.534097
14.038768 8.750000 -40.968138
14.038768 8.800000 -40.402180
14.038768 8.850000 -39.836222
14.038768 8.900000 -39.270264
14.038768 8.950000 -38.704623
14.038768 9.000000 -38.138983
14.038768 9.050000 -37.573343
14.038768 9.100000 -37.007703
14.038768 9.150000 -36.442142
14.038768 9.200000 -35.876582
14.038768 9.250000 -35.311021
14.038768 9.300000 -34.745460
14.038768 9.350000 -34.180053
14.038768 9.400000 -33.614645
14.038768 9.450000 -33.049238
14.038768 9.500000 -32.483831
14.038768 9.550000 -31.918660
14.038768 9.600000 -31.353488
14.038768 9.650000 -30.788317
14.038768 9.700000 -30.223146
14.038768 9.750000 -29.658306
14.038768 9.800000 -29.093465
14.038768 9.850000 -28.528624
14.038768 9.900000 -27.963784
14.038768 9.950000 -27.399416
14.038768 10.000000 -26.835049
14.038768 10.050000 -26.270682
14.038768 10.100000 -25.706314
14.038768 10.150000 -25.142607
14.038768 10.200000 -24.578900
14.038768 10.250000 -24.015194
13.961720 8.000000 -43.131979
13.961720 8.050000 -43.131979
13.961720 8.100000 -43.131979
13.961720 8.150000 -43.131979
13.961720 8.200000 -43.131979
13.961720 8.250000 -43.131979
13.961720 8.300000 -43.131979
13.961720 8.350000 -43.077914
13.961720 8.400000 -43.023850
13.961720 8.450000 -42.969786
13.961720 8.500000 -42.915721
13.961720 8.550000 -42.437163
13.961720 8.600000 -41.958605
13.961720 8.650000 -41.480047
13.961720 8.700000 -41.001489
13.961720 8.750000 -40.442002
13.961720 8.800000 -39.882514
13.961720 8.850000 -39.323027
13.961720 8.900000 -38.763539
13.961720 8.950000 -38.204288
13.961720 9.000000 -37.645037
13.961720 9.050000 -37.085786
13.961720 9.100000 -36.526535
13.961720 9.150000 -35.967364
13.961720 9.200000 -35.408193
13.961720 9.250000 -34.849021
13.961720 9.300000 -34.289850
13.961720 9.350000 -33.730834
13.961720 9.400000 -33.171818
13.961720 9.450000 -32.612802
13.961720 9.500000 -32.053786
13.961720 9.550000 -31.495012
13.961720 9.600000 -30.936237
13.961720 9.650000 -30.377462
13.961720 9.700000 -29.818687
13.961720 9.750000 -29.260250
