#Average black hole accretion rate (BHAR) to average star formation rate (SFR) ratio as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR/SFR)@log(Mpeak)=12 log10(BHAR/SFR)_16@log(Mpeak)=12 log10(BHAR/SFR)_84@log(Mpeak)=12 log10(BHAR/SFR)@log(Mpeak)=13 log10(BHAR/SFR)_16@log(Mpeak)=13 log10(BHAR/SFR)_84@log(Mpeak)=13 log10(BHAR/SFR)@log(Mpeak)=14 log10(BHAR/SFR)_16@log(Mpeak)=14 log10(BHAR/SFR)_84@log(Mpeak)=14 log10(BHAR/SFR)@log(Mpeak)=15 log10(BHAR/SFR)_16@log(Mpeak)=15 log10(BHAR/SFR)_84@log(Mpeak)=15
7.770029 -10.735879 -11.608276 -10.130647 -9.075934 -9.770448 -8.588600 -7.692171 -8.259708 -7.293031 -6.491614 -6.943264 -6.173931
7.749140 -10.684896 -11.550531 -10.084141 -9.030320 -9.718942 -8.546943 -7.651230 -8.213580 -7.255554 -6.455130 -6.902155 -6.140580
7.728300 -10.636106 -11.495322 -10.039371 -8.986736 -9.669777 -8.506946 -7.612186 -8.169637 -7.219739 -6.420406 -6.863148 -6.108809
7.707509 -10.587826 -11.440702 -9.995004 -8.943625 -9.621157 -8.467334 -7.573583 -8.126202 -7.184311 -6.386091 -6.824631 -6.077407
7.686768 -10.539546 -11.386082 -9.950637 -8.900514 -9.572537 -8.427723 -7.534980 -8.082767 -7.148883 -6.351776 -6.786113 -6.046004
7.666077 -10.491267 -11.331463 -9.906271 -8.857404 -9.523917 -8.388111 -7.496378 -8.039332 -7.113455 -6.317461 -6.747595 -6.014601
7.645435 -10.442987 -11.276843 -9.861904 -8.814293 -9.475298 -8.348499 -7.457775 -7.995898 -7.078026 -6.283146 -6.709077 -5.983198
7.624842 -10.394707 -11.222224 -9.817538 -8.771182 -9.426678 -8.308888 -7.419172 -7.952463 -7.042598 -6.248831 -6.670560 -5.951796
7.604298 -10.347226 -11.168528 -9.773894 -8.728812 -9.378908 -8.269889 -7.381252 -7.909805 -7.007776 -6.215157 -6.632811 -5.920962
7.583803 -10.301473 -11.116830 -9.731815 -8.688043 -9.332977 -8.232216 -7.344810 -7.868828 -6.974265 -6.182872 -6.596727 -5.891358
7.563357 -10.255720 -11.065131 -9.689736 -8.647274 -9.287046 -8.194542 -7.308368 -7.827851 -6.940753 -6.150587 -6.560642 -5.861754
7.542959 -10.209967 -11.013433 -9.647657 -8.606505 -9.241115 -8.156869 -7.271926 -7.786874 -6.907242 -6.118302 -6.524557 -5.832150
7.522610 -10.164214 -10.961735 -9.605578 -8.565736 -9.195184 -8.119196 -7.235484 -7.745897 -6.873731 -6.086017 -6.488472 -5.802547
7.502310 -10.118461 -10.910036 -9.563499 -8.524967 -9.149253 -8.081522 -7.199042 -7.704920 -6.840219 -6.053732 -6.452388 -5.772943
7.482058 -10.072708 -10.858338 -9.521420 -8.484199 -9.103322 -8.043849 -7.162599 -7.663942 -6.806708 -6.021447 -6.416303 -5.743339
7.461854 -10.028893 -10.808606 -9.481081 -8.445223 -9.059473 -8.007661 -7.127821 -7.624837 -6.774584 -5.990720 -6.382028 -5.715087
7.441698 -9.985500 -10.759303 -9.441122 -8.406637 -9.016078 -7.971796 -7.093405 -7.586138 -6.742761 -5.960333 -6.348149 -5.687128
7.421591 -9.942107 -10.710000 -9.401162 -8.368052 -8.972684 -7.935931 -7.058989 -7.547440 -6.710939 -5.929945 -6.314269 -5.659170
7.401531 -9.898713 -10.660697 -9.361203 -8.329466 -8.929289 -7.900067 -7.024574 -7.508742 -6.679117 -5.899558 -6.280389 -5.631211
7.381519 -9.855320 -10.611393 -9.321243 -8.290881 -8.885894 -7.864202 -6.990158 -7.470043 -6.647294 -5.869171 -6.246509 -5.603253
7.361554 -9.811927 -10.562090 -9.281283 -8.252295 -8.842500 -7.828337 -6.955742 -7.431345 -6.615472 -5.838783 -6.212629 -5.575295
7.341638 -9.769232 -10.513508 -9.241932 -8.214349 -8.799866 -7.793017 -6.921923 -7.393325 -6.584170 -5.808953 -6.179386 -5.547810
7.321768 -9.727979 -10.466415 -9.203836 -8.177722 -8.758805 -7.758822 -6.889339 -7.356707 -6.553944 -5.780274 -6.147460 -5.521306
7.301946 -9.686726 -10.419322 -9.165741 -8.141095 -8.717744 -7.724627 -6.856754 -7.320088 -6.523717 -5.751595 -6.115534 -5.494801
7.282171 -9.645473 -10.372229 -9.127646 -8.104469 -8.676684 -7.690431 -6.824170 -7.283470 -6.493490 -5.722916 -6.083608 -5.468297
7.262444 -9.604220 -10.325137 -9.089551 -8.067842 -8.635623 -7.656236 -6.791585 -7.246852 -6.463264 -5.694238 -6.051682 -5.441792
7.242763 -9.562967 -10.278044 -9.051456 -8.031215 -8.594562 -7.622041 -6.759001 -7.210234 -6.433037 -5.665559 -6.019756 -5.415288
7.223129 -9.521714 -10.230951 -9.013361 -7.994589 -8.553502 -7.587846 -6.726416 -7.173615 -6.402811 -5.636880 -5.987830 -5.388783
7.203542 -9.482272 -10.185928 -8.976891 -7.959659 -8.514283 -7.555120 -6.695446 -7.138834 -6.374007 -5.609700 -5.957543 -5.363624
7.184002 -9.443199 -10.141325 -8.940751 -7.925075 -8.475438 -7.522694 -6.664804 -7.104426 -6.345493 -5.582825 -5.927590 -5.338738
7.164508 -9.404126 -10.096723 -8.904611 -7.890491 -8.436593 -7.490267 -6.634163 -7.070018 -6.316979 -5.555951 -5.897636 -5.313852
7.145060 -9.365053 -10.052120 -8.868472 -7.855906 -8.397749 -7.457841 -6.603521 -7.035609 -6.288465 -5.529076 -5.867683 -5.288966
7.125659 -9.325980 -10.007517 -8.832332 -7.821322 -8.358904 -7.425414 -6.572879 -7.001201 -6.259951 -5.502201 -5.837730 -5.264080
7.106304 -9.286907 -9.962915 -8.796192 -7.786738 -8.320059 -7.392988 -6.542238 -6.966793 -6.231437 -5.475327 -5.807776 -5.239194
7.086996 -9.248510 -9.919097 -8.760626 -7.752785 -8.281926 -7.361115 -6.512178 -6.933046 -6.203455 -5.448992 -5.778473 -5.214830
7.067733 -9.211449 -9.876831 -8.726191 -7.720080 -8.245199 -7.330336 -6.483268 -6.900604 -6.176522 -5.423725 -5.750454 -5.191495
7.048516 -9.174389 -9.834564 -8.691757 -7.687375 -8.208472 -7.299557 -6.454358 -6.868163 -6.149590 -5.398457 -5.722436 -5.168161
7.029345 -9.137328 -9.792298 -8.657322 -7.654670 -8.171745 -7.268778 -6.425448 -6.835721 -6.122658 -5.373190 -5.694417 -5.144827
7.010219 -9.100267 -9.750031 -8.622888 -7.621964 -8.135018 -7.237999 -6.396538 -6.803280 -6.095726 -5.347923 -5.666399 -5.121493
6.991139 -9.063207 -9.707765 -8.588453 -7.589259 -8.098291 -7.207220 -6.367628 -6.770838 -6.068793 -5.322656 -5.638380 -5.098158
6.972105 -9.026146 -9.665498 -8.554019 -7.556554 -8.061564 -7.176441 -6.338718 -6.738397 -6.041861 -5.297388 -5.610362 -5.074824
6.953116 -8.990658 -9.625017 -8.520920 -7.525316 -8.026428 -7.146989 -6.311153 -6.707480 -6.016116 -5.273389 -5.583739 -5.052628
6.934172 -8.955466 -9.584873 -8.488073 -7.494355 -7.991594 -7.117789 -6.283842 -6.676853 -5.990596 -5.249630 -5.557380 -5.030647
6.915273 -8.920275 -9.544728 -8.455226 -7.463394 -7.956760 -7.088588 -6.256531 -6.646225 -5.965075 -5.225871 -5.531022 -5.008666
6.896419 -8.885083 -9.504584 -8.422379 -7.432433 -7.921926 -7.059388 -6.229220 -6.615597 -5.939555 -5.202112 -5.504663 -4.986686
6.877610 -8.849892 -9.464440 -8.389533 -7.401473 -7.887091 -7.030187 -6.201909 -6.584969 -5.914034 -5.178353 -5.478304 -4.964705
6.858846 -8.814701 -9.424296 -8.356686 -7.370512 -7.852257 -7.000987 -6.174598 -6.554341 -5.888514 -5.154594 -5.451946 -4.942724
6.840127 -8.780112 -9.384833 -8.324357 -7.340109 -7.818016 -6.972320 -6.147809 -6.524311 -5.863455 -5.131314 -5.426105 -4.921162
6.821452 -8.746663 -9.346655 -8.293006 -7.310761 -7.784897 -6.944661 -6.122005 -6.495412 -5.839267 -5.108940 -5.401246 -4.900394
6.802822 -8.713214 -9.308478 -8.261656 -7.281414 -7.751778 -6.917003 -6.096202 -6.466512 -5.815080 -5.086566 -5.376386 -4.879625
6.784236 -8.679764 -9.270301 -8.230306 -7.252066 -7.718659 -6.889344 -6.070398 -6.437612 -5.790893 -5.064191 -5.351526 -4.858856
6.765694 -8.646315 -9.232124 -8.198956 -7.222718 -7.685539 -6.861686 -6.044595 -6.408712 -5.766705 -5.041817 -5.326666 -4.838087
6.747197 -8.612866 -9.193947 -8.167605 -7.193371 -7.652420 -6.834027 -6.018791 -6.379813 -5.742518 -5.019443 -5.301806 -4.817319
6.728743 -8.579417 -9.155770 -8.136255 -7.164023 -7.619301 -6.806369 -5.992988 -6.350913 -5.718331 -4.997068 -5.276946 -4.796550
6.710334 -8.547014 -9.118817 -8.105940 -7.135570 -7.587133 -6.779497 -5.967976 -6.322903 -5.694883 -4.975363 -5.252866 -4.776306
6.691968 -8.514795 -9.082078 -8.075807 -7.107274 -7.555132 -6.752764 -5.943102 -6.295048 -5.671565 -4.953776 -5.228923 -4.756155
6.673646 -8.482576 -9.045339 -8.045674 -7.078977 -7.523130 -6.726030 -5.918229 -6.267194 -5.648247 -4.932189 -5.204980 -4.736003
6.655368 -8.450356 -9.008601 -8.015541 -7.050681 -7.491129 -6.699296 -5.893356 -6.239340 -5.624929 -4.910601 -5.181037 -4.715852
6.637133 -8.418137 -8.971862 -7.985408 -7.022384 -7.459128 -6.672563 -5.868482 -6.211485 -5.601611 -4.889014 -5.157094 -4.695700
6.618942 -8.385918 -8.935123 -7.955275 -6.994088 -7.427127 -6.645829 -5.843609 -6.183631 -5.578293 -4.867427 -5.133151 -4.675549
6.600794 -8.354311 -8.899079 -7.925713 -6.966381 -7.395781 -6.619645 -5.819301 -6.156396 -5.555535 -4.846368 -5.109799 -4.655866
6.582689 -8.323811 -8.864292 -7.897188 -6.939743 -7.365621 -6.594458 -5.796014 -6.130281 -5.533789 -4.826265 -5.087518 -4.637030
