#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "instant mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.325786 9.700000 -30.128494
14.325786 9.750000 -29.633608
14.325786 9.800000 -29.138737
14.325786 9.850000 -28.643866
14.325786 9.900000 -28.149021
14.325786 9.950000 -27.654175
14.325786 10.000000 -27.159369
14.325786 10.050000 -26.664562
14.325786 10.100000 -26.169813
14.325786 10.150000 -25.675063
14.325786 10.200000 -25.180386
14.275103 8.000000 -40.251766
14.275103 8.050000 -40.251995
14.275103 8.100000 -40.252312
14.275103 8.150000 -40.252629
14.275103 8.200000 -40.253063
14.275103 8.250000 -40.253498
14.275103 8.300000 -40.254089
14.275103 8.350000 -40.254680
14.275103 8.400000 -40.255479
14.275103 8.450000 -40.256278
14.275103 8.500000 -40.257353
14.275103 8.550000 -40.258428
14.275103 8.600000 -40.203532
14.275103 8.650000 -40.148635
14.275103 8.700000 -39.681837
14.275103 8.750000 -39.215039
14.275103 8.800000 -38.700363
14.275103 8.850000 -38.185687
14.275103 8.900000 -37.693559
14.275103 8.950000 -37.201431
14.275103 9.000000 -36.709946
14.275103 9.050000 -36.218460
14.275103 9.100000 -35.726965
14.275103 9.150000 -35.235470
14.275103 9.200000 -34.743950
14.275103 9.250000 -34.252431
14.275103 9.300000 -33.760889
14.275103 9.350000 -33.269348
14.275103 9.400000 -32.777794
14.275103 9.450000 -32.286241
14.275103 9.500000 -31.794687
14.275103 9.550000 -31.303132
14.275103 9.600000 -30.811585
14.275103 9.650000 -30.320037
14.275103 9.700000 -29.828500
14.275103 9.750000 -29.336963
14.275103 9.800000 -28.845440
14.275103 9.850000 -28.353917
14.275103 9.900000 -27.862418
14.275103 9.950000 -27.370919
14.275103 10.000000 -26.879459
14.275103 10.050000 -26.387999
14.275103 10.100000 -25.896596
14.275103 10.150000 -25.405193
14.275103 10.200000 -24.913865
14.224420 8.000000 -40.158111
14.224420 8.050000 -40.158341
14.224420 8.100000 -40.158658
14.224420 8.150000 -40.158976
14.224420 8.200000 -40.159411
14.224420 8.250000 -40.159847
14.224420 8.300000 -40.160439
14.224420 8.350000 -40.161031
14.224420 8.400000 -40.161832
14.224420 8.450000 -40.162633
14.224420 8.500000 -40.163710
14.224420 8.550000 -40.164787
14.224420 8.600000 -40.081724
14.224420 8.650000 -39.998661
14.224420 8.700000 -39.404163
14.224420 8.750000 -38.809666
14.224420 8.800000 -38.318508
14.224420 8.850000 -37.827350
14.224420 8.900000 -37.339216
14.224420 8.950000 -36.851082
14.224420 9.000000 -36.362969
14.224420 9.050000 -35.874856
14.224420 9.100000 -35.386723
14.224420 9.150000 -34.898590
14.224420 9.200000 -34.410429
14.224420 9.250000 -33.922268
14.224420 9.300000 -33.434082
14.224420 9.350000 -32.945896
14.224420 9.400000 -32.457696
14.224420 9.450000 -31.969496
14.224420 9.500000 -31.481293
14.224420 9.550000 -30.993090
14.224420 9.600000 -30.504893
14.224420 9.650000 -30.016696
14.224420 9.700000 -29.528507
14.224420 9.750000 -29.040319
14.224420 9.800000 -28.552143
14.224420 9.850000 -28.063968
14.224420 9.900000 -27.575815
14.224420 9.950000 -27.087662
14.224420 10.000000 -26.599549
14.224420 10.050000 -26.111436
14.224420 10.100000 -25.623380
14.224420 10.150000 -25.135324
14.224420 10.200000 -24.647343
14.174239 8.000000 -40.065545
14.174239 8.050000 -40.065774
14.174239 8.100000 -40.066093
14.174239 8.150000 -40.066411
14.174239 8.200000 -40.066847
14.174239 8.250000 -40.067284
14.174239 8.300000 -40.067877
14.174239 8.350000 -40.068471
14.174239 8.400000 -40.069273
14.174239 8.450000 -40.070075
14.174239 8.500000 -40.071155
14.174239 8.550000 -40.072234
14.174239 8.600000 -39.825681
14.174239 8.650000 -39.579128
14.174239 8.700000 -39.021704
14.174239 8.750000 -38.464281
14.174239 8.800000 -37.977464
14.174239 8.850000 -37.490647
14.174239 8.900000 -37.005860
14.174239 8.950000 -36.521073
14.174239 9.000000 -36.036296
14.174239 9.050000 -35.551520
14.174239 9.100000 -35.066720
14.174239 9.150000 -34.581920
14.174239 9.200000 -34.097090
14.174239 9.250000 -33.612260
14.174239 9.300000 -33.127402
14.174239 9.350000 -32.642545
14.174239 9.400000 -32.157671
14.174239 9.450000 -31.672798
14.174239 9.500000 -31.187919
14.174239 9.550000 -30.703040
14.174239 9.600000 -30.218166
14.174239 9.650000 -29.733291
14.174239 9.700000 -29.248423
14.174239 9.750000 -28.763556
14.174239 9.800000 -28.278700
14.174239 9.850000 -27.793843
14.174239 9.900000 -27.309009
14.174239 9.950000 -26.824174
14.174239 10.000000 -26.339378
14.174239 10.050000 -25.854581
14.174239 10.100000 -25.369842
14.174239 10.150000 -24.885103
14.174239 10.200000 -24.400439
14.174239 10.250000 -23.915775
14.124057 8.000000 -39.972978
14.124057 8.050000 -39.973208
14.124057 8.100000 -39.973527
14.124057 8.150000 -39.973846
14.124057 8.200000 -39.974284
14.124057 8.250000 -39.974721
14.124057 8.300000 -39.975316
14.124057 8.350000 -39.975910
14.124057 8.400000 -39.976714
14.124057 8.450000 -39.977518
14.124057 8.500000 -39.978600
14.124057 8.550000 -39.979681
14.124057 8.600000 -39.569638
14.124057 8.650000 -39.159595
14.124057 8.700000 -38.639245
14.124057 8.750000 -38.118896
14.124057 8.800000 -37.636420
14.124057 8.850000 -37.153944
14.124057 8.900000 -36.672504
14.124057 8.950000 -36.191064
14.124057 9.000000 -35.709624
14.124057 9.050000 -35.228184
14.124057 9.100000 -34.746717
14.124057 9.150000 -34.265251
14.124057 9.200000 -33.783752
14.124057 9.250000 -33.302252
14.124057 9.300000 -32.820723
14.124057 9.350000 -32.339194
14.124057 9.400000 -31.857647
14.124057 9.450000 -31.376099
14.124057 9.500000 -30.894545
14.124057 9.550000 -30.412990
14.124057 9.600000 -29.931438
14.124057 9.650000 -29.449886
14.124057 9.700000 -28.968339
14.124057 9.750000 -28.486793
14.124057 9.800000 -28.005256
14.124057 9.850000 -27.523719
14.124057 9.900000 -27.042202
14.124057 9.950000 -26.560686
14.124057 10.000000 -26.079206
14.124057 10.050000 -25.597727
14.124057 10.100000 -25.116304
14.124057 10.150000 -24.634881
14.124057 10.200000 -24.153535
14.124057 10.250000 -23.672188
14.073876 8.000000 -39.880411
14.073876 8.050000 -39.880642
14.073876 8.100000 -39.880962
14.073876 8.150000 -39.881281
14.073876 8.200000 -39.881720
14.073876 8.250000 -39.882158
14.073876 8.300000 -39.882754
14.073876 8.350000 -39.883350
14.073876 8.400000 -39.884155
14.073876 8.450000 -39.884961
14.073876 8.500000 -39.886044
14.073876 8.550000 -39.887128
14.073876 8.600000 -39.313595
14.073876 8.650000 -38.740062
14.073876 8.700000 -38.256786
14.073876 8.750000 -37.773510
14.073876 8.800000 -37.295376
14.073876 8.850000 -36.817241
14.073876 8.900000 -36.339148
14.073876 8.950000 -35.861055
14.073876 9.000000 -35.382951
14.073876 9.050000 -34.904847
14.073876 9.100000 -34.426714
14.073876 9.150000 -33.948581
14.073876 9.200000 -33.470413
14.073876 9.250000 -32.992244
14.073876 9.300000 -32.514044
14.073876 9.350000 -32.035843
14.073876 9.400000 -31.557622
14.073876 9.450000 -31.079400
14.073876 9.500000 -30.601170
14.073876 9.550000 -30.122940
14.073876 9.600000 -29.644711
14.073876 9.650000 -29.166481
14.073876 9.700000 -28.688255
14.073876 9.750000 -28.210030
14.073876 9.800000 -27.731812
14.073876 9.850000 -27.253595
14.073876 9.900000 -26.775396
14.073876 9.950000 -26.297198
14.073876 10.000000 -25.819035
14.073876 10.050000 -25.340873
14.073876 10.100000 -24.862767
14.073876 10.150000 -24.384660
14.073876 10.200000 -23.906630
14.073876 10.250000 -23.428600
14.024190 8.000000 -39.789097
14.024190 8.050000 -39.789328
14.024190 8.100000 -39.789649
14.024190 8.150000 -39.789969
14.024190 8.200000 -39.790408
14.024190 8.250000 -39.790847
14.024190 8.300000 -39.791445
