#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
8.596909 11.000000 -5.112913
8.596909 11.050000 -5.005807
8.596909 11.100000 -4.919959
8.596909 11.150000 -4.713782
8.596909 11.200000 -4.574548
8.596909 11.250000 -4.469281
8.596909 11.300000 -4.384617
8.596909 11.350000 -4.186925
8.596909 11.400000 -4.051576
8.596909 11.450000 -3.948538
8.596909 11.500000 -3.865318
8.596909 11.550000 -3.677637
8.596909 11.600000 -3.547017
8.596909 11.650000 -3.446734
8.596909 11.700000 -3.365318
8.596909 11.750000 -3.187393
8.547741 11.000000 -5.112507
8.547741 11.050000 -5.005578
8.547741 11.100000 -4.919844
8.547741 11.150000 -4.714316
8.547741 11.200000 -4.575375
8.547741 11.250000 -4.470276
8.547741 11.300000 -4.385719
8.547741 11.350000 -4.188607
8.547741 11.400000 -4.053528
8.547741 11.450000 -3.950645
8.547741 11.500000 -3.867527
8.547741 11.550000 -3.680350
8.547741 11.600000 -3.549973
8.547741 11.650000 -3.449833
8.547741 11.700000 -3.368511
8.547741 11.750000 -3.191029
8.547741 11.800000 -3.065397
8.498573 11.000000 -5.112101
8.498573 11.050000 -5.005349
8.498573 11.100000 -4.919728
8.498573 11.150000 -4.714851
8.498573 11.200000 -4.576204
8.498573 11.250000 -4.471272
8.498573 11.300000 -4.386825
8.498573 11.350000 -4.190296
8.498573 11.400000 -4.055488
8.498573 11.450000 -3.952763
8.498573 11.500000 -3.869747
8.498573 11.550000 -3.683081
8.498573 11.600000 -3.552950
8.498573 11.650000 -3.452954
8.498573 11.700000 -3.371727
8.498573 11.750000 -3.194697
8.498573 11.800000 -3.069290
8.449405 11.000000 -5.111696
8.449405 11.050000 -5.005121
8.449405 11.100000 -4.919613
8.449405 11.150000 -4.715386
8.449405 11.200000 -4.577035
8.449405 11.250000 -4.472272
8.449405 11.300000 -4.387933
8.449405 11.350000 -4.191991
8.449405 11.400000 -4.057457
8.449405 11.450000 -3.954891
8.449405 11.500000 -3.871979
8.449405 11.550000 -3.685829
8.449405 11.600000 -3.555946
8.449405 11.650000 -3.456097
8.449405 11.700000 -3.374968
8.449405 11.750000 -3.198396
8.449405 11.800000 -3.073217
8.400992 11.000000 -5.113223
8.400992 11.050000 -5.006813
8.400992 11.100000 -4.921411
8.400992 11.150000 -4.717777
8.400992 11.200000 -4.579695
8.400992 11.250000 -4.475086
8.400992 11.300000 -4.390847
8.400992 11.350000 -4.195432
8.400992 11.400000 -4.061145
8.400992 11.450000 -3.958720
8.400992 11.500000 -3.875902
8.400992 11.550000 -3.690208
8.400992 11.600000 -3.560547
8.400992 11.650000 -3.460827
8.400992 11.700000 -3.379784
8.400992 11.750000 -3.203614
8.400992 11.800000 -3.078636
8.400992 11.850000 -2.981702
8.352580 11.000000 -5.114756
8.352580 11.050000 -5.008511
8.352580 11.100000 -4.923216
8.352580 11.150000 -4.720181
8.352580 11.200000 -4.582372
8.352580 11.250000 -4.477920
8.352580 11.300000 -4.393782
8.352580 11.350000 -4.198901
8.352580 11.400000 -4.064863
8.352580 11.450000 -3.962584
8.352580 11.500000 -3.879860
8.352580 11.550000 -3.694632
8.352580 11.600000 -3.565196
8.352580 11.650000 -3.465610
8.352580 11.700000 -3.384654
8.352580 11.750000 -3.208895
8.352580 11.800000 -3.084123
8.352580 11.850000 -2.987313
8.304168 11.000000 -5.116295
8.304168 11.050000 -5.010217
8.304168 11.100000 -4.925029
8.304168 11.150000 -4.722599
8.304168 11.200000 -4.585066
8.304168 11.250000 -4.480771
8.304168 11.300000 -4.396736
8.304168 11.350000 -4.202397
8.304168 11.400000 -4.068614
8.304168 11.450000 -3.966483
8.304168 11.500000 -3.883856
8.304168 11.550000 -3.699102
8.304168 11.600000 -3.569896
8.304168 11.650000 -3.470445
8.304168 11.700000 -3.389579
8.304168 11.750000 -3.214242
8.304168 11.800000 -3.089681
8.304168 11.850000 -2.992998
8.256499 11.000000 -5.119645
8.256499 11.050000 -5.013720
8.256499 11.100000 -4.928630
8.256499 11.150000 -4.726740
8.256499 11.200000 -4.589455
8.256499 11.250000 -4.485302
8.256499 11.300000 -4.401358
8.256499 11.350000 -4.207496
8.256499 11.400000 -4.073938
8.256499 11.450000 -3.971937
8.256499 11.500000 -3.889394
8.256499 11.550000 -3.705052
8.256499 11.600000 -3.576045
8.256499 11.650000 -3.476713
8.256499 11.700000 -3.395924
8.256499 11.750000 -3.220948
8.256499 11.800000 -3.096568
8.256499 11.850000 -2.999994
8.208831 11.000000 -5.123022
8.208831 11.050000 -5.017251
8.208831 11.100000 -4.932261
8.208831 11.150000 -4.730922
8.208831 11.200000 -4.593889
8.208831 11.250000 -4.489880
8.208831 11.300000 -4.406031
8.208831 11.350000 -4.212656
8.208831 11.400000 -4.079327
8.208831 11.450000 -3.977460
8.208831 11.500000 -3.895005
8.208831 11.550000 -3.711084
8.208831 11.600000 -3.582283
8.208831 11.650000 -3.483072
8.208831 11.700000 -3.402363
8.208831 11.750000 -3.227760
8.208831 11.800000 -3.103567
8.208831 11.850000 -3.007105
8.208831 11.900000 -2.928223
8.161163 11.000000 -5.126425
8.161163 11.050000 -5.020811
8.161163 11.100000 -4.935923
8.161163 11.150000 -4.735144
8.161163 11.200000 -4.598368
8.161163 11.250000 -4.494508
8.161163 11.300000 -4.410754
8.161163 11.350000 -4.217878
8.161163 11.400000 -4.084785
8.161163 11.450000 -3.983054
8.161163 11.500000 -3.900689
8.161163 11.550000 -3.717202
8.161163 11.600000 -3.588612
8.161163 11.650000 -3.489526
8.161163 11.700000 -3.408900
8.161163 11.750000 -3.234680
8.161163 11.800000 -3.110680
8.161163 11.850000 -3.014335
8.161163 11.900000 -2.935530
8.114227 11.000000 -5.128541
8.114227 11.050000 -5.023102
8.114227 11.100000 -4.938327
8.114227 11.150000 -4.738205
8.114227 11.200000 -4.601732
8.114227 11.250000 -4.498045
8.114227 11.300000 -4.414404
8.114227 11.350000 -4.222145
8.114227 11.400000 -4.089343
8.114227 11.450000 -3.987783
8.114227 11.500000 -3.905528
8.114227 11.550000 -3.722602
8.114227 11.600000 -3.594286
8.114227 11.650000 -3.495362
8.114227 11.700000 -3.414843
8.114227 11.750000 -3.241129
8.114227 11.800000 -3.117384
8.114227 11.850000 -3.021191
8.114227 11.900000 -2.942489
8.067291 11.000000 -5.130666
8.067291 11.050000 -5.025405
8.067291 11.100000 -4.940744
8.067291 11.150000 -4.741288
8.067291 11.200000 -4.605121
8.067291 11.250000 -4.501612
8.067291 11.300000 -4.418086
8.067291 11.350000 -4.226455
8.067291 11.400000 -4.093950
8.067291 11.450000 -3.992563
8.067291 11.500000 -3.910423
8.067291 11.550000 -3.728071
8.067291 11.600000 -3.600035
8.067291 11.650000 -3.501278
8.067291 11.700000 -3.420869
8.067291 11.750000 -3.247675
8.067291 11.800000 -3.124192
8.067291 11.850000 -3.028158
8.067291 11.900000 -2.949562
8.067291 11.950000 -2.785455
8.020356 11.000000 -5.132803
8.020356 11.050000 -5.027720
8.020356 11.100000 -4.943175
8.020356 11.150000 -4.744393
8.020356 11.200000 -4.608538
8.020356 11.250000 -4.505208
8.020356 11.300000 -4.421798
8.020356 11.350000 -4.230808
8.020356 11.400000 -4.098607
8.020356 11.450000 -3.997397
8.020356 11.500000 -3.915373
8.020356 11.550000 -3.733609
8.020356 11.600000 -3.605862
8.020356 11.650000 -3.507275
8.020356 11.700000 -3.426980
8.020356 11.750000 -3.254321
8.020356 11.800000 -3.131109
8.020356 11.850000 -3.035238
8.020356 11.900000 -2.956751
8.020356 11.950000 -2.793126
7.974142 11.000000 -5.133199
7.974142 11.050000 -5.028278
7.974142 11.100000 -4.943837
7.974142 11.150000 -4.745659
7.974142 11.200000 -4.610084
7.974142 11.250000 -4.506915
7.974142 11.300000 -4.423611
